CandidateID,skills,major_field_of_studies,positions,responsibilities
C5471,"['assembly', 'AutoCAD', 'automation', 'budgets', 'budget', 'CNC', 'electronics', 'layout', 'machine tools', 'machinery', 'market', 'materials', 'mathematics', 'mechanical', 'networks', 'packaging', 'PLC', 'policies', 'presentations', 'programming', 'Project management', 'quality', 'recording', 'sales', 'spreadsheet', 'team work']","['AutoCad', None]","['Engineering Manager/Senior Mechanical Designer', 'Plant Manager/Project Manager', 'Precision Machinist']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning"
C8983,"['Client engagement', 'Communication', 'Analytical and business acumen', 'Demand creation pursuits', 'Federal Government experience', 'IT support services', 'Data storage', 'Interoperability', 'Advanced data analytics']","['Mechanical-Industrial Engineering', 'Accelerated Management Program', 'N/A']","['Director, Business Development', 'CEO and President', 'Vice President, Commercial Digital Services', 'Director, National and Strategic Accounts - Digital and Applied Imaging Group']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution"
C4705,"['Data Analytics', 'Natural Language Processing', 'Production Engineering', 'Production Analytics', 'Tableau', 'Machine Learning', 'Python', 'NLTK']",['Electrical and Electronics'],['Assistant Analyst'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C1955,"['Microsoft Excel, Project and Visio', 'Adobe', 'Engineering standards', 'OSHA regulations', 'MS Office proficient', 'Competency in procedure development', 'Advanced anatomy knowledge', 'Advanced knowledge of embedded systems', 'Vast technical knowledge', 'Windows XP/Vista', 'DHCP/DNS Ethernet and Firewall proficient', 'LAN aptitude', 'Proficient in AVG, Printers, PC Security systems', 'Knowledge of manufacturing test methodologies.', 'Database servers', 'Local remoter systems support', 'Proficiency in TCP/IP protocols', 'Information security', 'Document management', 'Ability to stand and walk for hours at time.']",,"['Biomedical Engineering Technician II', 'Nutrition Clerk', 'Manager/Assistant Service Coordinator', 'Receptionist']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits"
C3147,"['Machine Learning Engineering', 'Algorithm development', 'Python', 'Data Arbitration', 'Neural Networks', 'PyTorch', 'Pattern Recognition', 'Chatbot']","['Computer Science Engineering', 'Big Data Analytics']",['Associate Machine Learning Engineer'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration"
C1124,"['Lead Development', 'build teams', 'mentor', 'interface with customers and vendors', 'architect end to end', 'Develop products in consumer electronics', 'digital TV', 'industrial automation', 'control systems', 'C', 'C++', 'JAVA', 'JVM', 'Embedded Linux', 'LXC', 'Device Drivers', 'Socs', 'RTOS - OS9', 'VXWorks', 'DVB', 'MPEG', 'H.264', 'HLS', 'MP4', 'JSON', 'REST', 'SOAP', 'XML', 'SNMP', 'TR069', 'Microcontrollers', 'hardware', 'Matlab', 'Octave', 'Mathematical modeling', 'Integrating content protection systems', 'Agile Methodologies', 'Scrum', 'SDLC', 'project planning and management', 'leadership']","['Control Systems', 'Electrical Engineering', 'Machine learning']","['Engineering Manager', 'Engineering Manager, Architect', 'Senior Software Engineer']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication"
C7186,"['Microsoft Word/Excel', 'Great Plains Dynamics', 'BI360 (BusinessIntelligence Tool)', 'Keane Care']",['Accounting'],"['Senior Accountant', 'Senior Accountant', 'Senior Accountant', 'Controller']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C2289,"['Machine Learning Engineer', 'Data Analyst', 'Natural Language Processing', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow', 'Keras', 'Scikit Learn', 'Numpy', 'Pandas', 'Matplotlib', 'Python']","['Electronics/Telecommunication', 'Advanced Analytics']",['Analyst Intern'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




"
C1035,"['Machine learning', 'Deep learning', 'Python', 'NLP', 'Computer vision', 'Image processing', 'SQL', 'Data analysis', 'Big Data', 'Spark', 'Apache hive', 'Apache pig', 'Tensorflow', 'Sklearn', 'Data visualization', 'Data science']","[None, 'Big data analytics']",['Intern Trainee'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis"
C8762,"['Data Analysis', 'Data Visualization', 'Deep Learning', 'Machine Learning', 'Adobe Analytics', 'Excel', 'Matplotlib', 'Python']",['IT'],['Analyst Support'],"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration"
C5969,"['Computer System Building and Repair', 'Hardware and Software Installation', 'Diagnostic Software Utilities', 'Remote Access', 'Networking', 'Computer Management', 'CNNs', 'LSTMs', 'PyTorch']",['Computer Science'],"['Computer Scientist', 'Machine Learning Scientist', 'Entry-Level Computer Support Specialist']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning"
C8823,"['C/Python', 'R', 'STK', 'CATIA', 'ANSYS', 'LaTeX', 'SolidWorks', 'Microsoft Office', 'Microsoft Project']","['MATHEMATICS, PHYSICS, CHEMISTRY, ENGINEERING', 'Aerospace']","['Engineering intern', 'Tutor', 'Mechanical Design Engineer']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability"
C7895,"['Data Science', 'Machine Learning', 'Business Analysis', 'Business Analytics', 'Data Analysis', 'Data Analytics']","['Computer Science', 'N/A']",['Junior Analyst Expert'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration"
C0953,"['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python']",['Civil'],['Intern Trainee'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support"
C3435,"['Academic', 'Documentation', 'Edge', 'Fiber optics', 'Laser', 'Mechanical', 'Scanning']","['Mechanical Engineering', 'Bio-Industrial Mechatronics Engineering', 'Mechanical Engineering']","['Process Engineering Intern', 'Research Assistant', 'Graduate Researcher']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks"
C2363,"['Business Development & Sales Leadership', 'Sales Presentations', 'Client Development', 'Strategic Planning', 'Market Expansion', 'Team Building & Leadership', 'Client Engagement', 'Market Analysis/Competitive Positioning', 'Sales Forecasting', 'Vendor Sourcing/Relations', 'Change Management', 'Process Improvement', 'Profit Improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'VoIP']",['Business Administration'],"['Director of Business Development', 'Inside Sales Representative', 'General Manager', 'Assistant Manager']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning"
C3086,"['Data entry', 'Employee training', 'Equipment maintenance', 'ERP : Microsoft AX Dynamics', 'Failure analysis', 'Inspection', 'Lean manufacturing', 'Mechanical processes', 'protocols execution', 'Supervisory', 'System integration', 'Team player', 'Troubleshooting']",[None],"['Engineering Technician', 'Sr. Repair Technician', 'Lead Manufacturing Technician Production Supervisor', 'Wafer Fab Technician', 'Assembler/Operator', 'Test Technician']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution"
C6297,"['Communication Skills', 'High efficiency', 'High attention to Details', 'ERP/Accounting systems Proficiency', 'Advanced utilization Microsoft Office Suite', 'Excel']","['Accounting', 'Accounting & Finance']","['Financial Accountant', 'Assistant Accountant', 'Assistant Accountant', 'Front Office Officer', 'Internship - Credit Officer']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting"
C8876,"['Machine Learning', 'Data processing', 'Data visualization', 'Deep Learning', 'SQL', 'Python Programming', 'PyCharm', 'Django']",['CSE'],['Python Intern'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C3788,"['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']",['N/A'],['Analyst'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration"
C1748,"['Data Science', 'Data Analysis', 'Machine Learning', 'Deep Learning', 'Statistical Analysis', 'Data Mining', 'Computer Vision', 'Algorithm Development', 'Linear Regression', 'Market Basket Analysis', 'Python', 'R', 'SQL', 'NoSQL']","['Commerce', 'Data Science and Business Analytics']","['Lead Data Scientist', 'Data Scientist']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution"
C7968,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['Computers'],['Machine Learning Developer'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution"
C4229,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['N/A'],['SOFTWARE ENGINEER - MACHINE LEARNING'],"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning"
C9270,"['Data Science', 'Data Analytics', 'Database Management', 'Data Analysis', 'Data Mining', 'Data Modelling', 'Data Integration', 'Machine Learning', 'Statistical Modelling', 'Natural Language Processing', 'Predictive Analytics', 'Python', 'SQL', 'Flask']",['Computers'],['Data Scientist - Analytics & Insights'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws"
C0252,"['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']",['Statistics'],"['Automation Engineer', 'Data Engineer']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




"
C7595,"['SolidWorks 2005', 'Electrical drafting', 'Tube furnaces', 'administrative', 'cash receipts', 'customer service', 'directing', 'instruction', 'inventory', 'leadership', 'logistics', 'machinery', 'marketing', 'mentoring', 'natural gas', 'organizing', 'personnel', 'police', 'progress', 'promotion', 'proposals', 'quality', 'quality control', 'reading', 'reconciling', 'risk management', 'safety', 'sales', 'supervisory', 'supervision']",['Petroleum Engineering'],"['Engineering Intern', 'Field Engineering Intern', 'Assistant Service Manager', 'Non-Commissioned Officer']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting"
C4817,"['MS Office', 'Minitab', 'PowerPoint', 'Excel', 'Solid works', 'AutoCAD', 'Pro E', 'MS Access', 'SAP', 'Java', 'C', 'C++', 'Visual Basic', 'R', 'Python', 'AutoCAD', 'C', 'C++', 'Calibration', 'charts', 'data analysis', 'Database', 'designing', 'documentation', 'Forecasting', 'IMS', 'inspection', 'inventory', 'ISO', 'ISO 9001', 'Java', 'Lean Manufacturing', 'MS Access', 'Excel', 'MS Office', 'PowerPoint', 'Minitab', 'process improvement', 'Programming', 'Python', 'quality', 'safety', 'SAP', 'SAP R/3', 'Scheduling', 'Siemens', 'Solid works', 'SOP', 'Strategy/planning', 'supervising 4', 'Visual Basic', 'reduce waste']","['Industrial Engineering Production & Inventory management', 'Production Engineering Manufacturing, Planning and Supply Chain']","['Industrial Engineering Intern', 'Junior Engineer', 'Intern']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




"
C9235,"['ProEngineer/CREO', 'MiniTab', 'MS Office Suite', 'MS Project', 'MS Visio', 'Injection Molding', 'Trackwise', 'Catsweb', 'Manufacturing', 'Assembly', 'Automation', 'Budget', 'Calibration', 'CNC', 'Coaching', 'Stat Graphics', 'Process Engineering', 'Manufacturing process development and improvement', 'Manufacturing yield improvement', 'CIP']","['Mechanical Engineering', 'Physics and Biology']","['Manager, Quality Engineering', 'Senior Engineer II', 'Senior Engineer I', 'Process Engineer II', 'Research Engineer', 'Patent Examiner', 'Graduate Research Assistant']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks"
C4302,"['Deep learning', 'Python', 'SQL', 'Keras', 'PyTorch', 'PySpark', 'Data Science', 'Data Analysis', 'Machine Learning', 'Natural Language Processing', 'Artificial Intelligence', 'Computer Vision', 'Pattern Recognition', 'NLP', 'OpenCV', 'Image Processing']",['Chemical'],['Data Scientist'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality"
C7014,"['accounting software', 'AutoCAD', 'balance', 'budget', 'capital expenditures', 'handling cash', 'Civil Engineering', 'interpersonal communications', 'Consulting', 'contracts', 'prepare contract', 'Client', 'customer care', 'DC', 'Design and Construction', 'Engineering Design', 'expense reports', 'filing', 'marketing research', 'Materials', 'meetings', 'MS Excel', 'office', 'MS PowerPoint', 'MS Word', 'MicroStation', 'peak', 'Prime', 'project plans', 'Express', 'recording', 'Specification', 'Transportation', 'utilities', 'written communication']",['Civil Engineering'],"['Engineering Assistant', 'Medical Receptionist', 'Teller', 'Engineer Technician IV']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support"
C2484,"['Administrative support', 'scheduling appointments', 'benefits', 'billing', 'conferences', 'Contract administration', 'data base', 'documentation', 'filing', 'forms', 'home care', 'home health', 'Human Resources', 'HR', 'insurance', 'maintaining inventory', 'leadership', 'Director', 'Management Skills', 'market', 'SharePoint', 'Internet Research', 'patient safety', 'personnel', 'policies', 'presentations', 'pricing', 'public relations', 'purchasing', 'quality', 'research', 'scheduling', 'staffing', 'phone', 'transportation', 'travel arrangements']",['Interdisciplinary Studies'],"['Business Development & Marketing', 'Corporate Associate / HR Assistant', 'Admissions Director', 'Office Coordinator', 'Admissions Coordinator']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking"
